gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
007985,01,000003,19850630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NORTHROP GRUMMAN CORP,NOC,666807102,0001133421,3812,334511
005742,01,000003,19850731,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CENTERPOINT ENERGY INC,CNP,15189T107,0001130310,4931,22111
011672,01,000003,19850930,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TJX COS INC (THE),TJX,872540109,0000109198,5651,448140
004058,01,000003,19851031,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DOVER CORP,DOV,260003108,0000029905,3585,333415
008358,01,000003,19851130,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PARKER-HANNIFIN CORP,PH,701094104,0000076334,3490,332912
005878,01,000003,19860228,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ILLINOIS TOOL WORKS,ITW,452308109,0000049826,3560,33399
006268,01,000003,19860531,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,JOHNSON CONTROLS INTL PLC,JCI,G51502105,0000833444,3585,333415
004990,01,000003,19860831,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GAP INC,GPS,364760108,0000039911,5651,448140
007922,01,000003,19860831,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NORDSTROM INC,JWN,655664100,0000072333,5651,448140
007228,01,000003,19861031,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MEDTRONIC PLC,MDT,G5960L103,0001613103,3845,334510
002269,01,000003,19861130,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BLOCK H & R INC,HRB,093671105,0000012659,7200,541213
010247,01,000003,19861231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SYSCO CORP,SYY,871829107,0000096021,5140,4244
003310,01,000003,19870731,20181105,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CA INC,CA,12673P105,0000356028,7372,511210
007065,01,000003,19870831,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MARSH & MCLENNAN COS,MMC,571748102,0000062709,6411,524210
001913,01,000003,19871231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AVERY DENNISON CORP,AVY,053611109,0000008818,2670,322220
008304,01,000003,19871231,20150830,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PALL CORP,PLL.1,696429307,0000075829,3569,333999
005680,01,000003,19880331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HOME DEPOT INC,HD,437076102,0000354950,5211,444110
008245,01,000003,19880430,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PNC FINANCIAL SVCS GROUP INC,PNC,693475105,0000713676,6020,522110
003243,01,000003,19880531,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CITIGROUP INC,C,172967424,0000831001,6199,522110
010187,01,000003,19880531,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SUNTRUST BANKS INC,STI,867914103,0000750556,6020,522110
007409,01,000003,19880731,20100714,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MILLIPORE CORP,MIL.2,601073109,0000066479,3826,334516
007906,01,000003,19881130,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NIKE INC  -CL B,NKE,654106103,0000320187,3021,316210
004213,01,000003,19890131,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ECOLAB INC,ECL,278865100,0000031462,2842,325612
